type,name,barcode,variety,brand,slug,sku,unit,selectedPurchasingUnit,stockLevel,eachUnitQuantity,averageWeightPerUnit,hasShopperNotes,departments,subsAllowed,supportsBothEachAndKgPricing,adId,brandSuggestionId,brandSuggestionName,priceUnitLabel,availabilityStatus,onlineSample,onlineSampleRealProductMapId,isAgeRestricted,isTobaccoProduct,price.originalPrice,price.salePrice,price.savePrice,price.savePercentage,price.canShowSavings,price.hasBonusPoints,price.isClubPrice,price.isSpecial,price.isNew,price.canShowOriginalPrice,price.discount,price.total,price.isTargetedOffer,price.averagePricePerSingleUnit,price.isBoostOffer,price.purchasingUnitPrice,price.orderedPrice,price.isUsingOrderedPrice,price.currentPricingMatchesOrderedPricing,price.extendedListPrice,price.originalAveragePricePerSingleUnit,price.promotionStartDate,price.promotionEndDate,images.small,images.big,quantity.min,quantity.max,quantity.increment,quantity.value,quantity.quantityInOrder,quantity.purchasingQuantityString,size.cupListPrice,size.cupPrice,size.cupMeasure,size.packageType,size.volumeSize,productTag.tagType,productTag.multiBuy,productTag.bonusPoints,productTag.additionalTag.name,productTag.additionalTag.link,productTag.additionalTag.imagePath,productTag.additionalTag.linkTarget,productTag.additionalTag.altText,productTag.targetedOffer,productTag.boostOffer,id,link,positionIndex,headingText,paragraphText,products,image.src,image.alt,mobileImage.src,mobileImage.alt,productTag,content,additionalClassNames,secondaryImage.src,secondaryImage.alt,action.title,action.link,action.underlay,action.class,productTag.multiBuy.quantity,productTag.multiBuy.value,productTag.multiBuy.link,productTag.multiBuy.multiCupValue,productTag.additionalTag
Product,paper click pencils hb,9339687050178,hb,paper click,paper-click-pencils-hb,697134,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,2.25,2.25,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/697134.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/697134.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,12pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,duracell lithium battery coin 2016,41333682488,coin 2016,duracell,duracell-lithium-battery-coin-2016,774694,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,9.0,9.0,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/774694.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/774694.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,4.5,4.5,1ea,,2pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,energizer max aaa battery ,9312931700166,,energizer max,energizer-max-aaa-battery,73629,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,12.5,11.5,1.0,0.0,True,False,True,True,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/73629.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/73629.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,3.13,2.88,1ea,,4pack,IsClubPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,olsent screw light bulb led 11w 1050 lumen cool,9400597079778,led 11w 1050 lumen cool,olsent,olsent-screw-light-bulb-led-11w-1050-lumen-cool,427451,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,8.4,7.9,0.5,0.0,True,False,True,True,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/427451.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/427451.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,8.4,7.9,1ea,,1pack,IsClubPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,jelly belly car freshener very cherry,5010555152104,very cherry,jelly belly,jelly-belly-car-freshener-very-cherry,107924,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,11.99,11.99,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/107924.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/107924.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,66.61,66.61,100g,,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,cherry blossom shoe laces round black 75cm,5016652590375,round black 75cm,cherry blossom,cherry-blossom-shoe-laces-round-black-75cm,286350,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,6.0,6.0,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/286350.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/286350.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,2pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,food guru basting spoon rubber grip nylon,9310676401140,rubber grip nylon,food guru,food-guru-basting-spoon-rubber-grip-nylon,653436,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,Low Stock,,0.0,False,False,6.0,6.0,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/653436.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/653436.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,samba charcoal coconut,9420039506440,coconut,samba,samba-charcoal-coconut,774221,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,17.5,17.5,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/774221.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/774221.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,4kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,copperfield bbq cleaning dual grill brush,9420058003241,dual grill brush,copperfield,copperfield-bbq-cleaning-dual-grill-brush,661455,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,Low Stock,,0.0,False,False,7.5,7.5,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/661455.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/661455.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,decor go bento lunch box triple split,9300621038187,triple split,decor go bento,decor-go-bento-lunch-box-triple-split,156849,Each,,3.0,,,,"[{'id': 11, 'name': 'Household'}]",False,False,,,,,In Stock,,0.0,False,False,19.0,19.0,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/156849.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/156849.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,1.4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
